N , INSTANCE , # UDC , # COMBINATIONS , # OUTGOING LINKS , MAX # PARALLEL ACTIVITIES , AVG # PARALLEL ACTIVITIES , # DOUBLE LINKS , NPV , MAX MEMORY (ABSOLUTE) , MAX MEMORY (1) , MAX MEMORY (2) , AVG MEMORY , MAX # UDC IN MEMORY , AVG # UDC IN MEMORY , UDC CPU TIME , NPV CPU TIME , NPV (ENU) , CPU TIME (ENU) 
10, 1, 10, 65, 12, 3, 1.6, 0, NA, 0.000495911, 0.000175476, 0.000175476 , 0.00010329, 1, 0.276923, 0.002, NA, 0, 0
10, 2, 9, 73, 8, 3, 1.66667, 0, NA, 0.000556946, 0.000190735, 0.000190735 , 0.000115382, 0, 0, 0.002, NA, 0, 0
10, 3, 8, 73, 8, 3, 1.75, 0, NA, 0.000556946, 0.000236511, 0.000236511 , 0.000130431, 1, 0.328767, 0.002, NA, 0, 0
10, 4, 8, 81, 8, 3, 1.625, 0, NA, 0.000617981, 0.000328064, 0.000328064 , 0.000198553, 1, 0.222222, 0.002, NA, 0, 0
10, 5, 10, 73, 12, 3, 1.6, 0, NA, 0.000556946, 0.000221252, 0.000221252 , 0.000136702, 1, 0.493151, 0.004, NA, 0, 0
10, 6, 8, 81, 7, 3, 1.625, 0, NA, 0.000617981, 0.000190735, 0.000190735 , 0.00014769, 0, 0, 0.002, NA, 0, 0
10, 7, 9, 73, 8, 3, 1.66667, 0, NA, 0.000556946, 0.000190735, 0.000190735 , 0.000115382, 0, 0, 0.002, NA, 0, 0
10, 8, 9, 73, 9, 3, 1.55556, 0, NA, 0.000556946, 0.000221252, 0.000221252 , 0.000142973, 1, 0.0821918, 0.019, NA, 0, 0
10, 9, 10, 65, 12, 3, 1.6, 0, NA, 0.000495911, 0.000175476, 0.000175476 , 0.00010329, 1, 0.276923, 0.002, NA, 0, 0
10, 10, 9, 65, 11, 3, 1.66667, 0, NA, 0.000495911, 0.000175476, 0.000175476 , 0.000106107, 1, 0.276923, 0.002, NA, 0, 0
10, 11, 9, 73, 10, 3, 1.55556, 0, NA, 0.000556946, 0.000282288, 0.000282288 , 0.000165129, 2, 0.246575, 0.002, NA, 0, 0
10, 12, 8, 73, 8, 3, 1.625, 0, NA, 0.000556946, 0.000190735, 0.000190735 , 0.000142973, 1, 0.0821918, 0.002, NA, 0, 0
10, 13, 8, 73, 7, 3, 1.625, 0, NA, 0.000556946, 0.000190735, 0.000190735 , 0.000137956, 0, 0, 0.002, NA, 0, 0
10, 14, 9, 73, 9, 3, 1.66667, 0, NA, 0.000556946, 0.000175476, 0.000175476 , 0.000112873, 1, 0.0821918, 0.003, NA, 0, 0
10, 15, 9, 65, 10, 3, 1.66667, 0, NA, 0.000495911, 0.000175476, 0.000175476 , 0.000100473, 1, 0.184615, 0.004, NA, 0, 0
10, 16, 9, 73, 10, 3, 1.66667, 0, NA, 0.000556946, 0.000312805, 0.000312805 , 0.000164293, 1, 0.328767, 0.002, NA, 0, 0
10, 17, 11, 57, 15, 2, 1.63636, 0, NA, 0.000434875, 9.91821e-05, 9.91821e-05 , 6.53183e-05, 1, 0.526316, 0.002, NA, 0, 0
10, 18, 11, 57, 16, 2, 1.63636, 0, NA, 0.000434875, 8.39233e-05, 8.39233e-05 , 6.85307e-05, 1, 0.631579, 0.002, NA, 0, 0
10, 19, 8, 105, 7, 4, 1.5, 0, NA, 0.000801086, 0.000602722, 0.000602722 , 0.000467936, 0, 0, 0.002, NA, 0, 0
10, 20, 10, 65, 12, 3, 1.6, 0, NA, 0.000495911, 0.000221252, 0.000221252 , 0.000115967, 1, 0.276923, 0.002, NA, 0, 0
10, 21, 9, 73, 10, 3, 1.66667, 0, NA, 0.000556946, 0.000221252, 0.000221252 , 0.000126669, 1, 0.410959, 0.002, NA, 0, 0
10, 22, 10, 81, 11, 3, 1.6, 0, NA, 0.000617981, 0.000312805, 0.000312805 , 0.000163514, 1, 0.296296, 0.002, NA, 0, 0
10, 23, 10, 89, 12, 3, 1.6, 0, NA, 0.000679016, 0.000465393, 0.000465393 , 0.000243112, 2, 0.606742, 0.002, NA, 0, 0
10, 24, 11, 57, 13, 2, 1.63636, 0, NA, 0.000434875, 9.91821e-05, 9.91821e-05 , 5.99644e-05, 1, 0.385965, 0.002, NA, 0, 0
10, 25, 11, 57, 15, 2, 1.63636, 0, NA, 0.000434875, 9.91821e-05, 9.91821e-05 , 6.53183e-05, 1, 0.526316, 0.005, NA, 0, 0
